hour;all_all;all_bus;all_train;all_metro;all_tram;weekday_all;weekday_mode;weekday_bus;weekday_train;weekday_metro;weekday_tram;weekend_all;weekend_mode;weekend_bus;weekend_train;weekend_metro;weekend_tram
6;58.781559;59.51831436;90.0808128;34.84130716;51.23288778;57.81740279;59.46294569;58.11205255;92.64144194;33.7675841;53.33070418;64.75020181;55.98554563;68.5158291;75.70965251;39.33719512;40.37950578
5;54.432524;57.70726971;78.76389797;41.42887655;41.57142857;55.13298521;55.77485008;58.31051644;81.09484778;41.49773983;42.1962963;49.03128818;49.47974879;52.95335609;66.72379032;41.03714286;37.20470588
4;27.17321;26.90114133;52.46997389;17.02325581;0;36.22947266;26.60444002;36.05929299;53.33521127;17.02325581;0;-0.5762505083;10.1908593;-0.7365627977;41.5;0;0
3;48.79911;47.79226848;188.3184713;0;0;47.77988712;46.48971685;47.07345072;138.8854167;0;0;50.03281234;78.69363644;48.65979167;266.1147541;0;0
2;81.049573;81.94931831;143.0888889;0;201.0681818;68.72279884;70.51054378;69.65525717;114.3414634;0;98.04545455;103.3227908;153.2882047;103.9391028;205.122807;0;304.0909091
1;103.333431;106.8231869;112.2165558;0;72.17029844;90.46818259;65.30304722;93.28001671;100.8910387;0;67.04113346;140.9055166;94.57093383;146.0109418;142.1940701;0;90.0787234
0;90.602698;92.32751387;76.85613485;0;73.27000461;83.50023851;56.14212834;84.77479927;67.17530089;0;72.6184132;114.0084973;74.62320201;117.2492014;105.7625;0;75.48110661
23;74.161113;74.8984754;86.6064448;42.15944214;74.15502537;71.80731535;65.46912946;72.71984109;75.77793151;40.3245614;73.05418381;82.10861996;82.60699923;82.19684272;121.5843575;48.42429285;78.2225038
22;84.655535;85.78762581;72.33543132;46.20440694;88.8040553;83.36623434;71.66872315;84.31174071;66.20471494;45.64990859;90.50852836;89.05438626;78.65913743;90.82720169;92.80562249;48.05386179;82.94986376
21;91.821457;92.68539952;69.52421902;47.52690058;99.64082006;90.41549975;77.34363022;90.63481447;68.4944186;46.56899665;103.6762911;96.44995205;77.40908742;99.48769333;72.69170243;50.49082203;86.96613191
20;96.111849;93.61393786;79.85997142;51.95890916;141.5032503;95.25997479;93.49003245;91.97743711;81.34413265;52.03203661;148.6065234;99.96249797;84.66926217;101.1147768;73.91726251;51.65657521;111.9884342
19;93.715738;93.01879825;103.2823655;54.42481966;113.1882436;91.66171238;94.60337358;89.7221611;105.1337063;59.49844032;124.0591866;98.85912275;83.65110947;101.4298632;99.15526882;43.31247753;90.70682833
18;81.095402;81.95277186;109.2671694;50.14527279;73.29422004;74.91441222;74.14127151;75.91865378;109.1296471;49.77782468;61.73896047;100.5416047;91.26547464;101.3788707;109.609779;51.28266551;102.7905833
17;74.75158;75.1846141;105.0114568;50.88272654;63.50163163;70.53893199;71.93288207;71.33151126;113.6493142;50.6044835;52.14621935;91.10507787;79.8336343;90.66439603;81.68808568;51.9556907;95.02636481
16;79.443101;80.34136656;114.2007353;54.88660072;63.36336612;78.24131931;80.04514126;79.28924459;129.8289076;54.95615228;56.10626063;84.47890916;73.76680001;84.94234155;72.12488688;54.6190061;83.38096552
15;76.784589;77.6324663;97.39780622;50.82912252;63.45203185;74.44969986;73.17588247;75.39077493;110.3493391;49.51664188;57.44677395;86.54283311;71.45756656;87.41485739;62.65305206;55.81826087;79.94409592
14;80.006525;81.65601044;77.9079602;50.15131212;61.33793864;78.36164485;67.04538755;80.17786774;81.11703042;48.48926265;58.39738938;86.10268089;70.2695201;87.35470735;69.50022512;54.9716899;69.25145802
13;76.513725;78.73753612;68.49833928;46.97017115;56.2246145;74.42406402;61.34984249;76.72103362;71.53160675;45.25424592;51.89248368;83.4212047;66.41422254;85.59149064;60.62123894;51.37827225;68.06588835
12;79.584638;81.95376442;67.09095452;57.51591658;59.80596485;80.61403431;66.00361057;83.16768073;60.43632894;59.48789981;60.92253281;76.41731363;67.90050719;78.13954046;84.21473214;52.42751092;56.82024524
11;76.866235;79.63145956;72.15946463;46.69789885;54.1883317;77.16460987;62.55506544;80.05374236;69.4674221;46.71976902;53.97932829;75.98447752;64.70709026;78.36218837;79.08010924;46.64186249;54.74420095
10;72.312522;74.4611198;54.88215312;50.07110733;57.88158243;70.94692643;58.29580335;73.31565894;56.38002823;50.70256151;52.78496472;76.67670519;62.25343045;78.21838109;50.60725076;48.43698212;71.75110783
9;72.798109;74.22457104;71.46289361;62.91356502;59.5796748;73.02921709;69.24420615;74.18425489;74.757011;68.63642993;59.39912879;71.82028581;59.53919938;74.40180891;59.67936508;43.89190499;60.18371853
8;68.569495;69.36081784;80.60782468;67.78541492;53.29350039;69.75953568;70.63084047;70.25589791;83.61769091;73.00421749;55.64555556;61.86342996;55.1650656;64.08415889;67.63811563;44.47352342;44.46446446
7;53.192002;52.62752458;93.2227154;53.07348276;50.51949971;51.62514796;63.55254246;50.69288707;97.53977707;55.08589489;50.8916108;62.9579767;56.41110383;65.29415493;67.7749775;43.53963594;49.03564696
6;58.781559;59.51831436;90.0808128;34.84130716;51.23288778;57.81740279;59.46294569;58.11205255;92.64144194;33.7675841;53.33070418;64.75020181;55.98554563;68.5158291;75.70965251;39.33719512;40.37950578
