trip_scheduledArrival,trip_realtimeArrival,trip_arrivalDelay,trip_scheduledDeparture,trip_realtimeDeparture,trip_departureDelay,trip_realtime,trip_realtimeState,trip_serviceDay,trip_trip.gtfsId,trip_trip.route.shortName,stop_gtfsId,stop_name
45480,45480,0,45480,45480,0,False,SCHEDULED,1631912400,HSL:2531_20210917_La_1_1236,531,HSL:2312219,Kalastajankuja
45960,45960,0,45960,45960,0,False,SCHEDULED,1631912400,HSL:2531B_20210917_La_1_1244,531B,HSL:2312219,Kalastajankuja
46380,46380,0,46380,46380,0,False,SCHEDULED,1631912400,HSL:2531_20210917_La_1_1251,531,HSL:2312219,Kalastajankuja
46860,46860,0,46860,46860,0,False,SCHEDULED,1631912400,HSL:2531B_20210917_La_1_1259,531B,HSL:2312219,Kalastajankuja
47280,47280,0,47280,47280,0,False,SCHEDULED,1631912400,HSL:2531_20210917_La_1_1306,531,HSL:2312219,Kalastajankuja
46020,46086,66,46020,46086,66,True,UPDATED,1631912400,HSL:1025_20210917_La_1_1228,25,HSL:1465177,Vanha viertotie
47220,47220,0,47220,47220,0,False,SCHEDULED,1631912400,HSL:1025_20210917_La_1_1248,25,HSL:1465177,Vanha viertotie
48420,48420,0,48420,48420,0,False,SCHEDULED,1631912400,HSL:1025_20210917_La_1_1308,25,HSL:1465177,Vanha viertotie
49620,49620,0,49620,49620,0,False,SCHEDULED,1631912400,HSL:1025_20210917_La_1_1328,25,HSL:1465177,Vanha viertotie
50820,50820,0,50820,50820,0,False,SCHEDULED,1631912400,HSL:1025_20210917_La_1_1348,25,HSL:1465177,Vanha viertotie
45180,45343,163,45180,45360,180,True,UPDATED,1631912400,HSL:2510_20210917_La_1_1158,510,HSL:2222234,Aalto-yliopisto (M)
45480,45404,-76,45480,45408,-72,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1229,550,HSL:2222234,Aalto-yliopisto (M)
45660,45660,0,45660,45660,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1240,52,HSL:2222234,Aalto-yliopisto (M)
46020,46020,0,46020,46020,0,False,SCHEDULED,1631912400,HSL:2111_20210917_La_1_1245,111,HSL:2222234,Aalto-yliopisto (M)
46080,46080,0,46080,46080,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_2_1239,550,HSL:2222234,Aalto-yliopisto (M)
45480,45502,22,45480,45527,47,True,UPDATED,1631912400,HSL:31M2_20210917_La_2_1211,M2,HSL:1310602,Lauttasaari
45660,45696,36,45660,45721,61,True,UPDATED,1631912400,HSL:31M1_20210917_La_2_1215,M1,HSL:1310602,Lauttasaari
